top4,level,gold_left,level_efficiency,top_trait
1,8,0,0.21621621621621623,TFT17_RhaastUniqueTrait
0,7,7,0.25925925925925924,TFT17_RhaastUniqueTrait
0,6,0,0.2608695652173913,TFT17_Primordian
0,9,1,0.2727272727272727,TFT17_ShenUniqueTrait
0,7,4,0.25925925925925924,TFT17_Primordian
1,9,2,0.2727272727272727,TFT17_Mecha
1,10,1,0.2631578947368421,TFT17_Primordian
1,9,0,0.23684210526315788,TFT17_JhinUniqueTrait
0,8,1,0.26666666666666666,TFT17_RhaastUniqueTrait
1,9,0,0.2727272727272727,TFT17_BlitzcrankUniqueTrait
0,7,45,0.23333333333333334,TFT17_Fateweaver
1,9,6,0.2647058823529412,TFT17_Astronaut
1,9,1,0.24324324324324326,TFT17_BlitzcrankUniqueTrait
0,9,3,0.2903225806451613,TFT17_RhaastUniqueTrait
1,10,24,0.2702702702702703,TFT17_Primordian
0,7,11,0.35,TFT17_ADMIN
0,10,3,0.35714285714285715,TFT17_BlitzcrankUniqueTrait
0,9,1,0.34615384615384615,TFT17_BlitzcrankUniqueTrait
0,7,6,0.25925925925925924,TFT17_RhaastUniqueTrait
1,8,43,0.26666666666666666,TFT17_Mecha
1,8,2,0.23529411764705882,TFT17_JhinUniqueTrait
1,8,44,0.23529411764705882,TFT17_RhaastUniqueTrait
0,8,5,0.3076923076923077,TFT17_BlitzcrankUniqueTrait
1,7,29,0.23333333333333334,TFT17_RhaastUniqueTrait
0,9,1,0.2903225806451613,TFT17_Astronaut
1,9,0,0.2647058823529412,TFT17_DarkStar
0,7,20,0.25925925925925924,TFT17_Primordian
1,9,49,0.2647058823529412,TFT17_MeleeTrait
1,9,1,0.2727272727272727,TFT17_BlitzcrankUniqueTrait
0,7,37,0.23333333333333334,TFT17_ShieldTank
0,9,0,0.32142857142857145,TFT17_Stargazer_Mountain
1,7,11,0.20588235294117646,TFT17_RhaastUniqueTrait
0,8,3,0.26666666666666666,TFT17_Primordian
0,7,12,0.23333333333333334,TFT17_Mecha
0,9,0,0.32142857142857145,TFT17_BlitzcrankUniqueTrait
1,10,10,0.2702702702702703,TFT17_Mecha
1,8,0,0.21621621621621623,TFT17_Stargazer_Medallion
1,10,5,0.2702702702702703,TFT17_BlitzcrankUniqueTrait
1,8,3,0.25806451612903225,TFT17_Fateweaver
0,7,0,0.25,TFT17_SpaceGroove
1,9,2,0.24324324324324326,TFT17_BlitzcrankUniqueTrait
1,8,26,0.21621621621621623,TFT17_RhaastUniqueTrait
0,8,1,0.3076923076923077,TFT17_TahmKenchUniqueTrait
0,9,0,0.32142857142857145,TFT17_FioraUniqueTrait
1,8,18,0.2857142857142857,TFT17_SpaceGroove
0,8,56,0.3076923076923077,TFT17_Mecha
1,9,5,0.2727272727272727,TFT17_DRX
0,9,1,0.3333333333333333,TFT17_BlitzcrankUniqueTrait
1,9,0,0.2647058823529412,TFT17_DarkStar
1,8,0,0.24242424242424243,TFT17_RhaastUniqueTrait
0,8,0,0.26666666666666666,TFT17_RhaastUniqueTrait
0,8,0,0.3076923076923077,TFT17_SonaUniqueTrait
1,10,4,0.29411764705882354,TFT17_ADMIN
1,8,51,0.24242424242424243,TFT17_BlitzcrankUniqueTrait
0,7,35,0.22580645161290322,TFT17_APTrait
0,7,36,0.25925925925925924,TFT17_Primordian
1,8,2,0.25806451612903225,TFT17_DRX
1,8,19,0.25806451612903225,TFT17_ShenUniqueTrait
0,9,13,0.375,TFT17_BlitzcrankUniqueTrait
0,8,43,0.2857142857142857,TFT17_Mecha
1,9,22,0.2903225806451613,TFT17_Astronaut
1,9,2,0.2903225806451613,TFT17_MorganaUniqueTrait
0,8,1,0.2857142857142857,TFT17_ShenUniqueTrait
0,7,1,0.25,TFT17_RhaastUniqueTrait
0,8,0,0.3333333333333333,TFT17_JhinUniqueTrait
1,9,0,0.2647058823529412,TFT17_Primordian
0,7,13,0.25,TFT17_RhaastUniqueTrait
1,9,4,0.2903225806451613,TFT17_FioraUniqueTrait
1,9,2,0.2571428571428571,TFT17_Mecha
0,7,3,0.23333333333333334,TFT17_RhaastUniqueTrait
0,8,1,0.26666666666666666,TFT17_ShieldTank
1,9,53,0.2571428571428571,TFT17_DRX
0,7,4,0.22580645161290322,TFT17_RhaastUniqueTrait
1,9,40,0.2647058823529412,TFT17_SummonTrait
1,7,26,0.22580645161290322,TFT17_APTrait
0,9,1,0.3333333333333333,TFT17_Mecha
1,9,12,0.2647058823529412,TFT17_Primordian
0,8,11,0.38095238095238093,TFT17_FioraUniqueTrait
