placement,top4,level,gold_left,last_round,level_efficiency,top_trait,active_trait_count,unit_star_avg,unit_count,item_concentration,damage_to_players,players_eliminated,_unit_items,_traits_raw,match_id,game_version,game_datetime,puuid,is_me
2,1,9,27,34,0.2647058823529412,TFT17_BlitzcrankUniqueTrait,9,1.7,10,0.4375,104,3,"{""TFT17_Pyke"": [], ""TFT17_IvernMinion"": [""TFT17_Item_ShieldTankEmblemItem""], ""TFT17_Mordekaiser"": [], ""TFT17_Illaoi"": [""TFT_Item_Redemption"", ""TFT_Item_InfinityEdge"", ""TFT_Item_Crownguard""], ""TFT17_Karma"": [""TFT_Item_ThiefsGloves"", ""TFT_Item_PowerGauntlet"", ""TFT_Item_BlueBuff""], ""TFT17_Nunu"": [""TFT_Item_FrozenHeart"", ""TFT_Item_WarmogsArmor""], ""TFT17_Blitzcrank"": [""TFT_Item_UnstableConcoction""], ""TFT17_Sona"": [""TFT17_Item_PsyOps_SympatheticImplantMod"", ""TFT_Item_JeweledGauntlet"", ""TFT_Item_NeedlesslyLargeRod""], ""TFT17_Vex"": [""TFT_Item_GuinsoosRageblade"", ""TFT_Item_MadredsBloodrazor"", ""TFT_Item_RabadonsDeathcap""], ""TFT17_Summon"": []}","[{""name"": ""TFT17_AnimaSquad"", ""style"": 0}, {""name"": ""TFT17_Astronaut"", ""style"": 0}, {""name"": ""TFT17_BlitzcrankUniqueTrait"", ""style"": 3}, {""name"": ""TFT17_DarkStar"", ""style"": 1}, {""name"": ""TFT17_FlexTrait"", ""style"": 2}, {""name"": ""TFT17_ManaTrait"", ""style"": 0}, {""name"": ""TFT17_PsyOps"", ""style"": 1}, {""name"": ""TFT17_ShieldTank"", ""style"": 2}, {""name"": ""TFT17_SonaUniqueTrait"", ""style"": 3}, {""name"": ""TFT17_SpaceGroove"", ""style"": 1}, {""name"": ""TFT17_Stargazer_Medallion"", ""style"": 0}, {""name"": ""TFT17_SummonTrait"", ""style"": 1}, {""name"": ""TFT17_VexUniqueTrait"", ""style"": 3}]",NA1_5550028190,Linux Version 16.9.771.8383 (Apr 29 2026/11:01:44) [PUBLIC] <Releases/16.9>,1777498942641,TuE-_sqgOI26gYLh8gSj6K6dAJJzkD3YKwJfkZPYmxVKNs2Y6_UDiuIWDNfvDczJvNHVp_1hBIY8fQ,1
7,0,7,27,27,0.25925925925925924,TFT17_ShieldTank,2,2.2857142857142856,7,0.4642857142857144,45,0,"{""TFT17_Teemo"": [""TFT_Item_StatikkShiv"", ""TFT_Item_MadredsBloodrazor""], ""TFT17_Nasus"": [""TFT_Item_SpectralGauntlet""], ""TFT17_Leona"": [""TFT_Item_WarmogsArmor""], ""TFT17_Gwen"": [""TFT_Item_JeweledGauntlet"", ""TFT_Item_GuinsoosRageblade"", ""TFT17_Item_ShieldTankEmblemItem""], ""TFT17_Mordekaiser"": [], ""TFT17_Illaoi"": [], ""TFT17_Ornn"": [""TFT_Item_GargoyleStoneplate""]}","[{""name"": ""TFT17_ADMIN"", ""style"": 0}, {""name"": ""TFT17_AnimaSquad"", ""style"": 0}, {""name"": ""TFT17_AssassinTrait"", ""style"": 0}, {""name"": ""TFT17_DarkStar"", ""style"": 0}, {""name"": ""TFT17_ManaTrait"", ""style"": 0}, {""name"": ""TFT17_ResistTank"", ""style"": 0}, {""name"": ""TFT17_ShieldTank"", ""style"": 2}, {""name"": ""TFT17_SpaceGroove"", ""style"": 2}, {""name"": ""TFT17_SummonTrait"", ""style"": 0}]",NA1_5550028190,Linux Version 16.9.771.8383 (Apr 29 2026/11:01:44) [PUBLIC] <Releases/16.9>,1777498942641,tFWLIsa29Pzl6Xn3wglqph1Q_lv1LhYhi5DQ5WVeOudhs5Gi1ANLWwfXyzojyGW3zqtW7AOZA7KlvA,0
8,0,8,0,26,0.3076923076923077,TFT17_Stargazer_Medallion,7,1.5,8,0.5340909090909092,48,0,"{""TFT17_Gnar"": [], ""TFT17_Jax"": [], ""TFT17_Mordekaiser"": [], ""TFT17_Rhaast"": [], ""TFT17_Rammus"": [""TFT_Item_Redemption"", ""TFT_Item_TearOfTheGoddess""], ""TFT17_Nunu"": [""TFT_Item_SpectralGauntlet"", ""TFT_Item_Redemption"", ""TFT_Item_NightHarvester""], ""TFT17_Xayah"": [""TFT_Item_RunaansHurricane"", ""TFT_Item_GuinsoosRageblade"", ""TFT_Item_RapidFireCannon""], ""TFT17_Bard"": [""TFT_Item_SpearOfShojin"", ""TFT_Item_HextechGunblade"", ""TFT_Item_PowerGauntlet""]}","[{""name"": ""TFT17_Astronaut"", ""style"": 1}, {""name"": ""TFT17_DarkStar"", ""style"": 0}, {""name"": ""TFT17_ManaTrait"", ""style"": 1}, {""name"": ""TFT17_RangedTrait"", ""style"": 1}, {""name"": ""TFT17_ResistTank"", ""style"": 1}, {""name"": ""TFT17_RhaastUniqueTrait"", ""style"": 3}, {""name"": ""TFT17_ShieldTank"", ""style"": 1}, {""name"": ""TFT17_Stargazer_Medallion"", ""style"": 4}]",NA1_5550028190,Linux Version 16.9.771.8383 (Apr 29 2026/11:01:44) [PUBLIC] <Releases/16.9>,1777498942641,fYZTD2UUFwBvXl06_K4D1tKqbUuFaYoNDOXOENRg4GerW2Guev3YgMKCTCI0EfrsRG9dqU-B0Ct53A,0
4,1,8,1,31,0.25806451612903225,TFT17_PsyOps,4,1.8571428571428572,7,0.4675324675324677,98,0,"{""TFT17_Pyke"": [], ""TFT17_Gragas"": [""TFT_Item_Bloodthirster"", ""TFT_Item_Redemption"", ""TFT_Item_SpectralGauntlet""], ""TFT17_Maokai"": [], ""TFT17_Urgot"": [""TFT_Item_HextechGunblade"", ""TFT_Item_BrambleVest""], ""TFT17_Viktor"": [""TFT17_Item_PsyOps_SympatheticImplantMod_Radiant"", ""TFT_Item_MadredsBloodrazor"", ""TFT_Item_JeweledGauntlet""], ""TFT17_MasterYi"": [""TFT_Item_Bloodthirster"", ""TFT_Item_TitansResolve"", ""TFT17_Item_PsyOps_ChemicalCapacitorMod_Radiant""], ""TFT17_TahmKench"": []}","[{""name"": ""TFT17_DRX"", ""style"": 0}, {""name"": ""TFT17_FlexTrait"", ""style"": 0}, {""name"": ""TFT17_HPTank"", ""style"": 2}, {""name"": ""TFT17_ManaTrait"", ""style"": 0}, {""name"": ""TFT17_Mecha"", ""style"": 0}, {""name"": ""TFT17_MeleeTrait"", ""style"": 1}, {""name"": ""TFT17_PsyOps"", ""style"": 4}, {""name"": ""TFT17_TahmKenchUniqueTrait"", ""style"": 3}]",NA1_5550028190,Linux Version 16.9.771.8383 (Apr 29 2026/11:01:44) [PUBLIC] <Releases/16.9>,1777498942641,U4LIQlN2gJqsGGpB7SHzY4cRpjQ38wP0VZJjhryOonBIfaZ3xj5hf5vux8Gojob02BRjUmw_TkB5jQ,0
3,1,8,53,33,0.24242424242424243,TFT17_ADMIN,6,1.8888888888888888,9,0.5454545454545454,100,0,"{""TFT17_Leona"": [""TFT_Item_RedBuff""], ""TFT17_Lissandra"": [], ""TFT17_Zoe"": [""TFT_Item_StatikkShiv"", ""TFT_Item_PowerGauntlet""], ""TFT17_IvernMinion"": [], ""TFT17_Mordekaiser"": [""TFT_Item_Crownguard"", ""TFT_Item_Crownguard"", ""TFT_Item_UnstableConcoction""], ""TFT17_AurelionSol"": [], ""TFT17_Galio"": [""TFT_Item_WarmogsArmor"", ""TFT_Item_NegatronCloak""], ""TFT17_Leblanc"": [""TFT_Item_HextechGunblade"", ""TFT_Item_GuinsoosRageblade"", ""TFT_Item_PowerGauntlet""], ""TFT17_Summon"": []}","[{""name"": ""TFT17_ADMIN"", ""style"": 4}, {""name"": ""TFT17_APTrait"", ""style"": 0}, {""name"": ""TFT17_Astronaut"", ""style"": 0}, {""name"": ""TFT17_DarkStar"", ""style"": 1}, {""name"": ""TFT17_FlexTrait"", ""style"": 1}, {""name"": ""TFT17_ManaTrait"", ""style"": 2}, {""name"": ""TFT17_Mecha"", ""style"": 0}, {""name"": ""TFT17_ShieldTank"", ""style"": 1}, {""name"": ""TFT17_SummonTrait"", ""style"": 1}]",NA1_5550028190,Linux Version 16.9.771.8383 (Apr 29 2026/11:01:44) [PUBLIC] <Releases/16.9>,1777498942641,4CWO2nQoFzVINpMHP1VW_byGFmav1b8XXeM09X0N-3b1PRhIPDQpFV6CG0l1rYuYJI1eo_DXfTBysg,0
1,1,8,2,34,0.23529411764705882,TFT17_Fateweaver,6,2.875,8,0.48863636363636354,205,3,"{""TFT17_Caitlyn"": [""TFT_Item_GuinsoosRageblade"", ""TFT_Item_InfinityEdge"", ""TFT_Item_RunaansHurricane""], ""TFT17_Aatrox"": [""TFT_Item_GargoyleStoneplate"", ""TFT_Item_ChainVest""], ""TFT17_TwistedFate"": [""TFT_Item_SpearOfShojin"", ""TFT_Item_JeweledGauntlet""], ""TFT17_Talon"": [], ""TFT17_Jax"": [""TFT_Item_Redemption"", ""TFT_Item_GargoyleStoneplate"", ""TFT_Item_RedBuff""], ""TFT17_Milio"": [], ""TFT17_Corki"": [], ""TFT17_Riven"": [""TFT_Item_Bloodthirster""]}","[{""name"": ""TFT17_AssassinTrait"", ""style"": 1}, {""name"": ""TFT17_Astronaut"", ""style"": 0}, {""name"": ""TFT17_DRX"", ""style"": 1}, {""name"": ""TFT17_Fateweaver"", ""style"": 4}, {""name"": ""TFT17_ResistTank"", ""style"": 1}, {""name"": ""TFT17_Stargazer_Medallion"", ""style"": 4}, {""name"": ""TFT17_Timebreaker"", ""style"": 1}]",NA1_5550028190,Linux Version 16.9.771.8383 (Apr 29 2026/11:01:44) [PUBLIC] <Releases/16.9>,1777498942641,cczOuacFsblfs_aZg5aXGjgtiFORds_bsrBkolTrNEYneplWY-qwHTyqEQBL8MKxVt0KUQCx6g8v8Q,0
6,0,8,10,28,0.2857142857142857,TFT17_Astronaut,6,2.0,8,0.59375,81,1,"{""TFT17_Poppy"": [], ""TFT17_Milio"": [], ""TFT17_IvernMinion"": [], ""TFT17_Fizz"": [""TFT_Item_IonicSpark""], ""TFT17_Rammus"": [""TFT_Item_NightHarvester"", ""TFT_Item_WarmogsArmor""], ""TFT17_Corki"": [""TFT_Item_SpearOfShojin"", ""TFT9_Item_OrnnHorizonFocus"", ""TFT_Item_InfinityEdge""], ""TFT17_Galio"": [], ""TFT17_Riven"": [""TFT_Item_PowerGauntlet"", ""TFT_Item_RunaansHurricane""]}","[{""name"": ""TFT17_AssassinTrait"", ""style"": 1}, {""name"": ""TFT17_Astronaut"", ""style"": 2}, {""name"": ""TFT17_Fateweaver"", ""style"": 1}, {""name"": ""TFT17_FlexTrait"", ""style"": 1}, {""name"": ""TFT17_Mecha"", ""style"": 0}, {""name"": ""TFT17_ResistTank"", ""style"": 1}, {""name"": ""TFT17_SummonTrait"", ""style"": 0}, {""name"": ""TFT17_Timebreaker"", ""style"": 1}]",NA1_5550028190,Linux Version 16.9.771.8383 (Apr 29 2026/11:01:44) [PUBLIC] <Releases/16.9>,1777498942641,qyJ_s4nMyQ2Kp-27sAfapfKtpJpivyGi4YsuuL0p8au6jFYEE63eccljgRBOato9fS5CDJwFKZ177Q,0
5,0,8,12,30,0.26666666666666666,TFT17_Stargazer_Medallion,7,1.875,8,0.625,84,0,"{""TFT17_Gnar"": [], ""TFT17_Jax"": [], ""TFT17_Mordekaiser"": [], ""TFT17_Rhaast"": [], ""TFT17_Rammus"": [""TFT_Item_GargoyleStoneplate"", ""TFT_Item_Redemption"", ""TFT_Item_Quicksilver""], ""TFT17_Nunu"": [""TFT_Item_AdaptiveHelm"", ""TFT_Item_FrozenHeart"", ""TFT_Item_GargoyleStoneplate""], ""TFT17_Xayah"": [], ""TFT17_Jhin"": [""TFT_Item_MadredsBloodrazor"", ""TFT_Item_InfinityEdge"", ""TFT_Item_GuinsoosRageblade""]}","[{""name"": ""TFT17_Astronaut"", ""style"": 0}, {""name"": ""TFT17_DarkStar"", ""style"": 1}, {""name"": ""TFT17_JhinUniqueTrait"", ""style"": 3}, {""name"": ""TFT17_ManaTrait"", ""style"": 0}, {""name"": ""TFT17_RangedTrait"", ""style"": 2}, {""name"": ""TFT17_ResistTank"", ""style"": 1}, {""name"": ""TFT17_RhaastUniqueTrait"", ""style"": 3}, {""name"": ""TFT17_ShieldTank"", ""style"": 1}, {""name"": ""TFT17_Stargazer_Medallion"", ""style"": 4}]",NA1_5550028190,Linux Version 16.9.771.8383 (Apr 29 2026/11:01:44) [PUBLIC] <Releases/16.9>,1777498942641,dbOqkkUctSzNl-69mQ4dfa-leQdavvr1qT1MQ9IA9XWW_efujjl8eSvKEyywI9OQSng7pSDZdYJ4jw,0
7,0,6,1,23,0.2608695652173913,TFT17_ShieldTank,4,1.8,5,0.6000000000000001,43,0,"{""TFT17_Teemo"": [""TFT_Item_GuinsoosRageblade"", ""TFT_Item_ArchangelsStaff"", ""TFT_Item_MadredsBloodrazor""], ""TFT17_Nasus"": [], ""TFT17_Leona"": [""TFT_Item_GargoyleStoneplate"", ""TFT_Item_GargoyleStoneplate"", ""TFT_Item_WarmogsArmor""], ""TFT17_Mordekaiser"": [], ""TFT17_Leblanc"": []}","[{""name"": ""TFT17_ADMIN"", ""style"": 1}, {""name"": ""TFT17_AnimaSquad"", ""style"": 0}, {""name"": ""TFT17_DarkStar"", ""style"": 0}, {""name"": ""TFT17_ManaTrait"", ""style"": 0}, {""name"": ""TFT17_ShieldTank"", ""style"": 2}, {""name"": ""TFT17_SpaceGroove"", ""style"": 1}, {""name"": ""TFT17_SummonTrait"", ""style"": 1}]",NA1_5550565612,Linux Version 16.9.771.8383 (Apr 29 2026/11:01:44) [PUBLIC] <Releases/16.9>,1777568009911,AZkohbsyTpVisyYX7ho9xOsGA7U45Q0cdUkweYbjiDycsAqmwbRPcm72K3B8XJ7pR6NUh3r0OXCCVw,0
8,0,8,59,21,0.38095238095238093,TFT17_TahmKenchUniqueTrait,5,1.375,8,0.5972222222222223,4,0,"{""TFT17_Briar"": [], ""TFT17_Jinx"": [], ""TFT17_Illaoi"": [""TFT_Item_Artifact_AegisOfDawn""], ""TFT17_Maokai"": [], ""TFT17_Kindred"": [""TFT_Item_JeweledGauntlet"", ""TFT_Item_Leviathan"", ""TFT_Item_BFSword""], ""TFT17_AurelionSol"": [""TFT17_AnimaSquadItem_Tier2_Annihilator"", ""TFT_Item_ArchangelsStaff""], ""TFT17_Galio"": [""TFT17_AnimaSquadItem_Tier2_RadiantField"", ""TFT_Item_GargoyleStoneplate"", ""TFT17_Item_Artifact_SorakaArtifact""], ""TFT17_TahmKench"": []}","[{""name"": ""TFT17_ASTrait"", ""style"": 1}, {""name"": ""TFT17_AnimaSquad"", ""style"": 1}, {""name"": ""TFT17_AssassinTrait"", ""style"": 0}, {""name"": ""TFT17_DRX"", ""style"": 1}, {""name"": ""TFT17_FlexTrait"", ""style"": 0}, {""name"": ""TFT17_HPTank"", ""style"": 1}, {""name"": ""TFT17_ManaTrait"", ""style"": 0}, {""name"": ""TFT17_Mecha"", ""style"": 0}, {""name"": ""TFT17_Primordian"", ""style"": 0}, {""name"": ""TFT17_ShieldTank"", ""style"": 0}, {""name"": ""TFT17_SummonTrait"", ""style"": 0}, {""name"": ""TFT17_TahmKenchUniqueTrait"", ""style"": 3}]",NA1_5550565612,Linux Version 16.9.771.8383 (Apr 29 2026/11:01:44) [PUBLIC] <Releases/16.9>,1777568009911,4xqxkM4xFKs_Byy3aGpfryUChLwWLIUUZJZnydCY5ifFkAOLns9ea46QTB8y1GzO4wFYYJ8m56zu9A,0
